,Country,Year,Area harvested,Yield,Production
0,Angola,1961,15000.0,60000.0,90000.0
1,Angola,1962,15000.0,66667.0,100000.0
2,Angola,1963,17000.0,73529.0,125000.0
3,Angola,1964,18000.0,77778.0,140000.0
4,Angola,1965,18000.0,83333.0,150000.0
5,Angola,1966,16000.0,78125.0,125000.0
6,Angola,1967,17000.0,85294.0,145000.0
7,Angola,1968,17000.0,82353.0,140000.0
8,Angola,1969,17000.0,85294.0,145000.0
9,Angola,1970,18000.0,81667.0,147000.0
10,Angola,1971,18000.0,83333.0,150000.0
11,Angola,1972,18000.0,86111.0,155000.0
12,Angola,1973,18000.0,88889.0,160000.0
13,Angola,1974,18000.0,88889.0,160000.0
14,Angola,1975,18000.0,88889.0,160000.0
15,Angola,1976,18000.0,89444.0,161000.0
16,Angola,1977,18000.0,90000.0,162000.0
17,Angola,1978,18000.0,90000.0,162000.0
18,Angola,1979,18000.0,90000.0,162000.0
19,Angola,1980,18000.0,91667.0,165000.0
20,Angola,1981,18000.0,91667.0,165000.0
21,Angola,1982,18000.0,91667.0,165000.0
22,Angola,1983,18000.0,91667.0,165000.0
23,Angola,1984,19000.0,89474.0,170000.0
24,Angola,1985,19000.0,89474.0,170000.0
25,Angola,1986,19000.0,89474.0,170000.0
26,Angola,1987,19000.0,89474.0,170000.0
27,Angola,1988,19000.0,89474.0,170000.0
28,Angola,1989,19000.0,86842.0,165000.0
29,Angola,1990,18457.0,89342.0,164899.0
30,Angola,1991,20429.0,83215.0,170000.0
31,Angola,1992,20000.0,90000.0,180000.0
32,Angola,1993,21000.0,88095.0,185000.0
33,Angola,1994,21575.0,83430.0,180000.0
34,Angola,1995,22692.0,81527.0,185000.0
35,Angola,1996,22000.0,85455.0,188000.0
36,Angola,1997,23909.0,79050.0,189000.0
37,Angola,1998,24531.0,77453.0,190000.0
38,Angola,1999,22000.0,82865.0,182303.0
39,Angola,2000,64126.0,34938.0,224043.0
40,Angola,2001,79452.0,44458.0,353228.0
41,Angola,2002,100294.0,42190.0,423141.0
42,Angola,2003,142116.0,38231.0,543319.0
43,Angola,2004,138796.0,45360.0,629573.0
44,Angola,2005,143805.0,46159.0,663787.0
45,Angola,2006,154783.0,44240.0,684756.0
46,Angola,2007,161262.0,58855.0,949104.0
47,Angola,2008,125276.0,65437.0,819772.0
48,Angola,2009,147813.0,66475.0,982588.0
49,Angola,2010,156594.0,63001.0,986563.0
50,Angola,2011,159528.0,65512.0,1045104.0
51,Angola,2012,121776.0,52954.0,644854.0
52,Angola,2013,163433.0,73409.0,1199749.0
53,Angola,2014,168700.0,114342.0,1928954.0
54,Angola,2015,167816.0,115174.0,1932812.0
55,Angola,2016,174694.0,111218.0,1942904.0
56,Angola,2017,197162.0,86022.0,1696027.0
57,Angola,2018,178225.0,94719.0,1688122.0
58,Angola,2019,178272.0,94246.0,1680146.0
59,Angola,2020,182750.0,94574.0,1728332.0
60,"China, mainland",1961,10614000.0,69738.0,74020000.0
61,"China, mainland",1962,10658000.0,75061.0,80000000.0
62,"China, mainland",1963,9030000.0,81506.0,73600000.0
