Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1961,1961,ha,15000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1962,1962,ha,15000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1963,1963,ha,17000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1964,1964,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1965,1965,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1966,1966,ha,16000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1967,1967,ha,17000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1968,1968,ha,17000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1969,1969,ha,17000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1970,1970,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1971,1971,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1972,1972,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1973,1973,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1974,1974,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1975,1975,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1976,1976,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1977,1977,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1978,1978,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1979,1979,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1980,1980,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1981,1981,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1982,1982,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1983,1983,ha,18000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1984,1984,ha,19000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1985,1985,ha,19000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1986,1986,ha,19000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1987,1987,ha,19000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1988,1988,ha,19000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,1989,1989,ha,19000,E,Estimated value
