Region,Country,Polygon_shape,Percentage
Angola - Namibe,Angola,"POLYGON ((11.770914 -17.2726811, 12.0455722 -17.1362494, 12.3092441 -17.2621899, 12.6717929 -17.2202192, 12.9903964 -16.9681959, 13.4078769 -16.9892108, 13.1332187 -16.7158339, 13.243082 -16.5789979, 13.1881503 -16.4209893, 13.4847812 -16.2523052, 13.4737949 -15.9884467, 13.6166171 -15.7771087, 13.5836581 -15.5232122, 13.4298496 -15.4067381, 13.3968906 -15.3113926, 13.2980136 -15.3113926, 13.2650546 -15.2160036, 13.2650546 -15.056926, 13.2650546 -14.9189626, 13.5397128 -14.7384153, 13.6605624 -14.5045438, 13.6825351 -14.2810721, 13.5836581 -14.1106588, 13.6166171 -13.9187914, 13.5726718 -13.8441332, 13.4298496 -13.8014606, 13.3089999 -13.6840707, 13.3089999 -13.5773017, 13.0453281 -13.4811685, 12.9464511 -13.6093374, 12.7267246 -13.5238992, 12.5619296 -13.5559421, 12.5179843 -13.886798, 12.3861484 -13.8761325, 12.3531894 -14.1958815, 12.2543124 -14.8233975, 12.1664218 -15.1735946, 12.0345859 -15.2584041, 12.0565585 -15.6396205, 11.770914 -15.7876808, 11.7928867 -15.9884467, 11.7819003 -16.810509, 11.770914 -17.2726811))",0.04
Angola - Huila,Angola,"POLYGON ((13.4847812 -16.2523052, 13.5519847 -16.323359, 13.8046702 -16.3022709, 13.9255198 -16.1123762, 14.0243968 -16.2073464, 14.4089183 -16.0279201, 14.5517405 -15.8377631, 15.00218 -15.9645544, 15.1010569 -16.0701526, 15.4416331 -15.6897393, 15.705305 -15.3933701, 16.2106761 -15.4145534, 16.474348 -15.1814186, 16.6830882 -15.1708154, 16.6281565 -14.7037532, 16.4853343 -14.597462, 16.4633616 -14.2569866, 16.4633616 -13.8626709, 16.5292796 -13.5745026, 16.4963206 -13.4142573, 16.2875804 -13.371507, 16.1117991 -13.4463149, 15.9579905 -13.4035704, 15.5295237 -13.7773246, 15.4965647 -13.6385705, 15.3427562 -13.6172165, 15.3097972 -13.4463149, 15.1340159 -13.4356295, 14.6945628 -13.6599226, 14.5187815 -13.6065387, 14.3869456 -13.873337, 13.9255198 -13.8306697, 13.5726718 -13.8441332, 13.5836581 -14.1106588, 13.6825351 -14.2810721, 13.6605624 -14.5045438, 13.5397128 -14.7384153, 13.2650546 -14.9189626, 13.2980136 -15.3113926, 13.3968906 -15.3113926, 13.5836581 -15.5232122, 13.6166171 -15.7771087, 13.4737949 -15.9884467, 13.4847812 -16.2523052))",0.11
Angola - Lunda Norte,Angola,"POLYGON ((17.5486938 -8.0966551, 17.5377075 -8.4445607, 17.5926391 -8.9115632, 17.5816528 -9.2478713, 17.2960083 -9.3129265, 17.4058716 -9.5946912, 17.6365845 -9.8329249, 17.8123657 -9.8545741, 17.955188 -10.1791394, 18.0430786 -10.330491, 17.988147 -10.460163, 18.4385864 -10.6761623, 18.4825317 -10.4385547, 19.8887817 -9.8653982, 19.9876587 -9.508019, 20.4271118 -9.1502661, 20.7127563 -9.0309344, 20.800647 -8.80301, 21.0753052 -8.5858086, 21.5147583 -8.5966716, 21.9102661 -8.3250029, 21.7564575 -7.9443511, 21.8992798 -7.4762113, 21.7674438 -7.269197, 20.5369751 -7.2909925, 20.5919067 -6.9203269, 20.3611938 -6.8985138, 20.3172485 -6.9966647, 19.5724435 -7.0670095, 19.4822876 -7.2038041, 19.5372192 -7.4653183, 19.4163696 -7.5960171, 19.3087716 -8.0254216, 18.7681762 -7.9334701, 18.517756 -7.9819043, 18.2078735 -7.9878723, 18.0760376 -8.1292842, 17.5486938 -8.0966551))",0.39
Angola - Lunda Sul,Angola,"POLYGON ((21.9102661 -8.3250029, 21.5147583 -8.5966716, 21.0753052 -8.5858086, 20.800647 -8.80301, 20.7127563 -9.0309344, 20.4271118 -9.1502661, 19.9876587 -9.508019, 19.8887817 -9.8653982, 18.4825317 -10.4385547, 18.6751433 -10.5840363, 18.6092253 -10.7136018, 18.7520476 -10.9833511, 19.2464323 -11.2528542, 19.1915007 -11.4359727, 19.4661589 -11.3928966, 19.5870085 -11.2636291, 19.7298308 -11.3174977, 19.8616667 -11.2636291, 20.0813933 -11.2636291, 20.1692839 -11.1450829, 20.4769011 -11.3067248, 20.9053679 -11.4575083, 21.6744108 -11.1666404, 21.6414519 -10.9294208, 21.8062468 -10.5948355, 22.2786589 -10.5948355, 22.2786589 -10.5084311, 22.3226042 -10.3679725, 22.2347136 -10.1517595, 22.2347136 -9.9354003, 22.014987 -9.8488163, 21.7952604 -9.4372356, 21.8831511 -9.1878806, 21.8721647 -8.8623716, 21.9600554 -8.5039788, 21.9102661 -8.3250029))",0.12
Angola - Malanje,Angola,"POLYGON ((17.0648948 -7.3717633, 16.9989769 -7.5787294, 16.768264 -7.5351657, 16.6034691 -7.3063854, 16.3178245 -7.4153432, 16.2079612 -7.5351657, 16.0541527 -7.6113992, 16.1530296 -7.9814808, 16.065139 -8.166397, 15.8124534 -8.2098943, 15.8014671 -8.405573, 15.6696312 -8.4816437, 15.6586448 -8.6446015, 15.6366722 -9.143894, 15.5268089 -9.1005045, 15.263137 -9.2848733, 15.1422874 -9.4691451, 15.1752464 -9.7399531, 15.263137 -9.7940886, 15.7685081 -9.7182965, 16.1750023 -9.7724354, 16.4057152 -10.0970826, 16.3178245 -10.2160384, 16.5924827 -10.5726369, 16.7902366 -10.7453851, 17.3505394 -10.9288217, 17.405471 -11.2199286, 17.4933616 -11.359987, 17.4823753 -11.6829352, 17.6361839 -11.7367236, 17.8998558 -11.4892108, 18.3942405 -11.5215075, 18.5480491 -11.3492157, 18.84468 -11.3815284, 18.7348167 -11.1768199, 18.7520476 -10.9833511, 18.6092253 -10.7136018, 18.6751433 -10.5840363, 18.4825317 -10.4385547, 18.4385864 -10.6761623, 17.988147 -10.460163, 18.0430786 -10.330491, 17.8123657 -9.8545741, 17.6365845 -9.8329249, 17.4058716 -9.5946912, 17.2960083 -9.3129265, 17.5816528 -9.2478713, 17.5926391 -8.9115632, 17.5377075 -8.4445607, 17.5486938 -8.0966551, 17.0648948 -7.3717633))",0.32
Angola - Bie,Angola,"POLYGON ((18.7520476 -10.9833511, 18.7348167 -11.1768199, 18.84468 -11.3815284, 18.5480491 -11.3492157, 18.3942405 -11.5215075, 17.8998558 -11.4892108, 17.6361839 -11.7367236, 17.4823753 -11.6829352, 17.4933616 -11.359987, 17.405471 -11.2199286, 17.3505394 -10.9288217, 16.7902366 -10.7453851, 16.5924827 -10.5726369, 16.3709488 -10.8190434, 16.2061539 -10.9916502, 15.9534684 -10.9485079, 15.8216324 -11.2072665, 15.7776871 -11.4765607, 15.9534684 -11.4765607, 16.0523453 -11.4227222, 16.2940445 -11.4873271, 16.3489762 -11.6272536, 16.5467301 -11.9391429, 16.3050309 -12.2828801, 16.3599625 -12.3794759, 16.3270035 -12.6047267, 16.4917984 -12.7333528, 16.4963206 -13.4142573, 16.5292796 -13.5745026, 16.4368668 -13.9626239, 16.7225113 -14.0052668, 16.9532242 -13.9732854, 17.0081559 -14.1757591, 17.3157731 -14.3354794, 17.4915543 -14.0159263, 17.7881852 -13.8879798, 17.8321305 -13.6639037, 17.9200211 -13.653228, 17.9639664 -13.4182424, 18.1067887 -13.3327358, 18.051857 -13.1188374, 18.2056656 -12.8190674, 18.4473649 -12.4331248, 18.7439957 -12.2614095, 18.8428727 -11.971387, 18.9527359 -11.7778651, 19.1915007 -11.4359727, 19.2464323 -11.2528542, 18.7520476 -10.9833511))",0.02
China - Zhejiang,China,"POLYGON ((120.4918631 27.1339787, 121.6445318 28.2468924, 121.9301763 29.0375209, 122.2597661 30.1456813, 120.9414068 30.373428, 121.3369146 30.8461975, 120.8974615 30.9404739, 119.6596938 31.0831704, 119.1872817 30.2610892, 118.9345961 30.3559364, 118.7698012 29.7282552, 118.0776625 29.5085868, 117.9893865 29.0115885, 118.5606756 28.2788306, 118.9537772 27.5048931, 119.6019705 27.6412323, 119.8766287 27.2903043, 120.2831229 27.426909, 120.4918631 27.1339787))",0.02
China - Sichuan,China,"POLYGON ((97.633461 32.5118233, 98.1827774 32.3634683, 98.4025039 31.8796336, 98.8639297 31.3932443, 98.6002578 31.3557246, 98.6881485 30.8666087, 99.039711 30.7156057, 99.0616836 29.8618215, 99.039711 29.0775117, 98.9518203 28.7312742, 99.2594375 28.1903984, 99.742836 28.7312742, 100.1822891 28.3258765, 100.0943985 28.112905, 100.380043 27.7634931, 100.6876602 27.8800893, 101.5665664 26.5907133, 101.8302383 26.0787164, 102.4674453 26.3349979, 102.6651992 26.2364949, 102.9508438 26.3940595, 102.9947891 27.2958617, 103.4562149 28.0159596, 103.9176407 28.5770209, 104.2472305 28.6348925, 104.3570938 27.99656, 104.8404922 27.8800893, 105.1041641 28.0935229, 105.2799453 27.8023724, 106.2687149 27.7634931, 106.2027969 28.1516587, 105.9610977 28.3452165, 105.6974258 28.4998093, 105.9830703 28.6734558, 106.5543594 28.4225411, 106.5323867 28.5770209, 106.2467422 28.8853002, 105.8292617 29.00067, 105.6534805 29.2501962, 105.3458633 29.5946912, 105.7193985 29.8999249, 105.6095352 30.185235, 105.7853164 30.4507812, 106.070961 30.2611788, 106.5983047 30.3180981, 107.1695938 30.185235, 107.5651016 30.7722596, 107.9386367 30.8288802, 108.2901992 31.4682389, 108.5318985 31.674164, 108.3341446 31.8796336, 108.4220352 32.1404787, 108.0485 32.1218716, 107.4552383 32.5118233, 107.0377578 32.6599339, 106.3126602 32.7338974, 105.6534805 32.7523786, 104.9064102 32.5673934, 104.2252578 32.8816402, 104.2911758 33.2682939, 104.0714492 33.7446456, 103.1705703 33.8359506, 102.8849258 34.3273108, 102.2257461 33.9089245, 102.4015274 33.4884743, 101.852211 33.231543, 101.2369766 33.2499204, 101.149086 32.6969233, 100.6876602 32.6229292, 100.1603164 32.7523786, 99.8307266 33.0291372, 99.6988907 32.6599339, 98.8639297 33.1763877, 98.336586 34.0546849, 97.7872696 34.2546968, 97.633461 33.9818359, 97.3697891 33.8359506, 97.7433242 33.3601035, 97.3258438 33.1211977, 97.4576797 32.7338974, 97.633461 32.5118233))",0.17
China - Yunnan,China,"POLYGON ((98.1295669 28.2754186, 98.3932387 27.4985875, 98.7228286 27.5765208, 98.7667739 25.9284686, 98.3053481 25.5722373, 97.5363051 24.7967705, 97.6461684 23.8356636, 98.8326919 24.1969314, 98.7667739 23.916033, 98.8986098 23.1707268, 99.5358169 23.0292504, 99.2501723 22.1365951, 99.909352 22.0755228, 100.0851333 21.6268563, 100.6564223 21.4429069, 100.9860122 21.8717582, 101.1398208 21.4224537, 101.8429458 21.1563022, 101.6671645 22.4821695, 103.8644301 22.5430642, 105.4711542 23.2115041, 106.0863886 23.4737688, 105.9106073 24.0970614, 105.163537 24.2373893, 104.460412 24.7173361, 104.8092544 25.2745655, 104.3917739 25.592056, 104.7433364 26.3820893, 104.3258559 26.6573389, 103.8644301 26.5591113, 103.8644301 27.420599, 104.5455825 27.2253867, 105.1827895 27.3230358, 105.2799453 27.8023724, 105.1041641 28.0935229, 104.8404922 27.8800893, 104.3570938 27.99656, 104.2472305 28.6348925, 103.9176407 28.5770209, 102.9947891 27.2958617, 102.9508438 26.3940595, 102.4674453 26.3349979, 101.8302383 26.0787164, 100.6876602 27.8800893, 100.380043 27.7634931, 100.0943985 28.112905, 100.1822891 28.3258765, 99.742836 28.7312742, 99.2594375 28.1903984, 98.9518203 28.7312742, 98.7008559 28.9697607, 98.6569106 28.1011184, 98.1295669 28.2754186))",0.01
China - Jiangxi,China,"POLYGON ((118.1765395 29.3937874, 117.154811 29.8807852, 117.1108657 29.6614503, 116.6604262 29.632806, 116.8691664 29.928403, 116.6494399 30.0996386, 116.5395766 29.8712589, 115.8284628 29.8416586, 113.9388144 28.999555, 114.1105263 28.8428097, 114.2643349 28.2057333, 113.7589638 27.9731186, 113.6051552 27.3113231, 113.9127724 27.3308447, 114.1544716 26.0746091, 113.924308 25.5041341, 114.7153236 25.3155872, 114.0782537 24.7404344, 114.4077064 24.5284951, 115.8139564 24.5984397, 115.8798744 24.9077234, 116.6136893 26.4179786, 116.569744 26.9088774, 117.1190604 27.26101, 116.9982108 27.6217656, 117.3278006 27.8939829, 117.76966 27.8134151, 118.5606756 28.2788306, 118.340949 28.742221, 117.9893865 29.0115885, 118.1765395 29.3937874))",0.02
