Region,Year,Country,Production,Area harvested,Yield
Angola - Namibe,1961,Angola,3600.0,600.0,2400.0
Angola - Huila,1961,Angola,9900.0,1650.0,6600.0
Angola - Lunda Norte,1961,Angola,35100.0,5850.0,23400.0
Angola - Lunda Sul,1961,Angola,10800.0,1800.0,7200.0
Angola - Malanje,1961,Angola,28800.0,4800.0,19200.0
Angola - Bie,1961,Angola,1800.0,300.0,1200.0
China - Zhejiang,1961,China,1480400.0,212280.0,1394.76
China - Sichuan,1961,China,12583400.0,1804380.0000000002,11855.460000000001
China - Yunnan,1961,China,740200.0,106140.0,697.38
China - Jiangxi,1961,China,1480400.0,212280.0,1394.76
China - Jiangsu,1961,China,2960800.0,424560.0,2789.52
China - Henan,1961,China,7402000.0,1061400.0,6973.8
China - Hebei,1961,China,3701000.0,530700.0,3486.9
China - Chongqing,1961,China,3701000.0,530700.0,3486.9
China - Anhui,1961,China,7402000.0,1061400.0,6973.8
China - Shadong,1961,China,8142200.0,1167540.0,7671.18
China - Guangdong,1961,China,5181400.000000001,742980.0000000001,4881.660000000001
China - Hubei,1961,China,2220600.0,318420.0,2092.14
China - Fujian,1961,China,2960800.0,424560.0,2789.52
China - Guangxi,1961,China,3701000.0,530700.0,3486.9
China - Hunan,1961,China,2960800.0,424560.0,2789.52
China - Guizhou,1961,China,2220600.0,318420.0,2092.14
China - Hainan,1961,China,2220600.0,318420.0,2092.14
China - Shaanxi,1961,China,1480400.0,212280.0,1394.76
China - Shanxi,1961,China,740200.0,106140.0,697.38
Indonesia - Aceh,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Bengkulu,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Bali,1961,Indonesia,73911.0,10980.0,2019.4199999999998
Indonesia - Riau,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Jambi,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Lampung,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Jawa Tengah,1961,Indonesia,221733.0,32940.0,6058.26
Indonesia - Jawa Barat,1961,Indonesia,394192.0,58560.0,10770.24
Indonesia - Jawa Timur,1961,Indonesia,221733.0,32940.0,6058.26
Indonesia - Maluku,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Nusa Tenggara Barat,1961,Indonesia,73911.0,10980.0,2019.4199999999998
Indonesia - Nusa Tenggara Timur,1961,Indonesia,123185.0,18300.0,3365.7000000000003
Indonesia - Sulawesi Selatan,1961,Indonesia,73911.0,10980.0,2019.4199999999998
Indonesia - Sulawesi Tenggara,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Sulawesi Utara,1961,Indonesia,49274.0,7320.0,1346.28
Indonesia - Sulawesi Tengah,1961,Indonesia,98548.0,14640.0,2692.56
Indonesia - Sumatera Selatan,1961,Indonesia,49274.0,7320.0,1346.28
Indonesia - Sumatera Barat,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Sumatera Utara,1961,Indonesia,49274.0,7320.0,1346.28
Indonesia - Kalimantan Timur,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Kalimantan Selatan,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Kalimantan Tengah,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Kalimantan Barat,1961,Indonesia,24637.0,3660.0,673.14
Indonesia - Irian Jaya,1961,Indonesia,640562.0,95160.0,17501.64
Nigeria - Cross River,1961,Nigeria,32780.0,2860.0,25215.3
Nigeria - Rivers,1961,Nigeria,31290.0,2730.0,24069.149999999998
Nigeria - Plateau,1961,Nigeria,84929.99999999999,7409.999999999999,65330.549999999996
Nigeria - Sokoto,1961,Nigeria,1490.0,130.0,1146.15
United Republic of Tanzania - Kagera,1961,United Republic of Tanzania,45150.0,6510.0,14564.55
United Republic of Tanzania - Arusha,1961,United Republic of Tanzania,4300.0,620.0,1387.1000000000001
United Republic of Tanzania - Dar-Es-Salaam,1961,United Republic of Tanzania,2150.0,310.0,693.5500000000001
United Republic of Tanzania - Dodoma,1961,United Republic of Tanzania,15050.000000000002,2170.0,4854.85
United Republic of Tanzania - Iringa,1961,United Republic of Tanzania,4300.0,620.0,1387.1000000000001
United Republic of Tanzania - Kilimanjaro,1961,United Republic of Tanzania,2150.0,310.0,693.5500000000001
United Republic of Tanzania - Lindi,1961,United Republic of Tanzania,4300.0,620.0,1387.1000000000001
United Republic of Tanzania - Mara,1961,United Republic of Tanzania,25800.0,3720.0,8322.6
United Republic of Tanzania - Mbeya,1961,United Republic of Tanzania,6450.0,930.0,2080.65
United Republic of Tanzania - Morogoro,1961,United Republic of Tanzania,21500.0,3100.0,6935.5
United Republic of Tanzania - Mtwara,1961,United Republic of Tanzania,6450.0,930.0,2080.65
United Republic of Tanzania - Mwanza,1961,United Republic of Tanzania,8600.0,1240.0,2774.2000000000003
United Republic of Tanzania - Pwani,1961,United Republic of Tanzania,19350.0,2790.0,6241.95
United Republic of Tanzania - Ruvuma,1961,United Republic of Tanzania,32250.0,4650.0,10403.25
United Republic of Tanzania - Shinyanga,1961,United Republic of Tanzania,4300.0,620.0,1387.1000000000001
United Republic of Tanzania - Singida,1961,United Republic of Tanzania,6450.0,930.0,2080.65
United Republic of Tanzania - Tanga,1961,United Republic of Tanzania,6450.0,930.0,2080.65
United States of America - North Carolina,1961,United States of America,248703.54,28190.68,33524.36
United States of America - Louisiana,1961,United States of America,163620.75,18546.5,22055.5
United States of America - Mississippi,1961,United States of America,65448.3,7418.6,8822.2
United States of America - California,1961,United States of America,58903.47,6676.74,7939.98
United States of America - Alabama,1961,United States of America,32724.15,3709.3,4411.1
United States of America - Georgia,1961,United States of America,13089.66,1483.72,1764.44
United States of America - South Carolina,1961,United States of America,13089.66,1483.72,1764.44
United States of America - New Jersey,1961,United States of America,6544.83,741.86,882.22
United States of America - Texas,1961,United States of America,45813.810000000005,5193.02,6175.540000000001
United States of America - Virginia,1961,United States of America,6544.83,741.86,882.22
Viet Nam - North central coast,1961,Viet Nam,416840.00000000006,83300.0,17013.940000000002
Viet Nam - Red river delta,1961,Viet Nam,281980.0,56350.0,11509.43
Viet Nam - Northern mountain and midland,1961,Viet Nam,269720.0,53900.0,11009.02
Viet Nam - South Central Coast,1961,Viet Nam,134860.0,26950.0,5504.51
Viet Nam - Central Highlands,1961,Viet Nam,49040.0,9800.0,2001.64
Viet Nam - South east,1961,Viet Nam,24520.0,4900.0,1000.82
Viet Nam - Mekong river delta,1961,Viet Nam,4904.0,980.0,200.16400000000002
Haiti - Nord,1961,Haiti,28800.0,5520.0,8347.84
Haiti - Ouest,1961,Haiti,34200.0,6555.0,9913.06
Haiti - Sud,1961,Haiti,36000.0,6900.0,10434.800000000001
Madagascar - Fianarantsoa,1961,Madagascar,15150.0,3000.0,2525.0
